,Model,RMSE,RMeSE,Rel. Impr. RMSE,Rel. Impr. RMeSE
Linear Regression (Properties),Linear Regression,79.97262402659602,33.84973864872817,0.0,0.0
Linear Regression (Properties + POIs),Linear Regression,78.01351988810902,31.22865001286395,2.449718465953398,7.743305385794168
Linear Regression (Properties + POIs Independent),Linear Regression,78.24309436694624,32.11378340440601,2.1626521334033075,5.128415502219506
Random Forest (Properties),Random Forest,82.25312035068433,31.61260836691584,-2.8515962203889833,6.60900311529107
Random Forest (Properties + POIs),Random Forest,69.05197537726791,23.218205934137167,13.655483713647184,31.408020088186
Random Forest (Properties + POIs Independent),Random Forest,68.93531363628362,23.95760016362238,13.801360808971062,29.22367758215311
Linear Regression (Properties + Spatial Lag),Linear Regression,75.08973830645103,29.93953324734588,6.1056965174996956,11.551656105708828
Linear Regression (Properties + POIs + Spatial Lag),Linear Regression,74.59903200599753,29.115088900553832,6.719289364334763,13.987256437361687
Random Forest (Properties + Spatial Lag),Random Forest,71.83205195078486,25.208005598222186,10.179198413076833,25.529689136405427
Random Forest (Properties + POIs + Spatial Lag),Random Forest,69.54717768942342,22.827410794919384,13.036268928359126,32.56251981201907
Linear Regression (Properties + Spatial Correlation),Linear Regression,79.26726251141207,32.9127501725045,0.8820037153581135,2.7680818630452655
Linear Regression (Properties + POIs + Spatial Correlation),Linear Regression,77.72963003164104,31.150970397304395,2.8047022618753226,7.972789035182627
Linear Regression (Properties + Spatial Lag + Spatial Correlation),Linear Regression,73.82899327740768,27.75640834954301,7.682167271571827,18.00111475724527
Linear Regression (Properties + POIs + Spatial Lag + Spatial Correlation),Linear Regression,73.50912682862776,27.675975574054828,8.08213720212399,18.238731881332583
Random Forest (Properties + Spatial Correlation),Random Forest,74.00343604945154,27.328283114751343,7.464039163150815,19.265896264820515
Random Forest (Properties + POIs + Spatial Correlation),Random Forest,69.74764945257874,23.64943150098964,12.78559344334734,30.134079478695725
Random Forest (Properties + Spatial Lag + Spatial Correlation),Random Forest,71.83205195078486,25.208005598222186,10.179198413076833,25.529689136405427
Random Forest (Properties + POIs + Spatial Lag + Spatial Correlation),Random Forest,70.02687137440192,23.471823763823718,12.436446563122027,30.6587740384057
